city,name,complete_days,baseline_17,baseline_18,baseline_19,baseline_20,baseline_21,start_hour,train_n,test_n,test_win_rate,test_lower95,status
helsinki,赫尔辛基,544,0.90625,0.9485294117647058,0.9613970588235294,0.96875,0.9761029411764706,17,362,86,1.0,0.9694997251722435,research_only
karachi,卡拉奇,543,0.996316758747698,0.998158379373849,0.998158379373849,0.998158379373849,0.998158379373849,17,449,91,1.0,0.9711271782397718,weather_paper_candidate
chongqing,重庆,522,0.9386973180076629,0.9942528735632183,1.0,1.0,1.0,17,354,86,1.0,0.9694997251722435,research_only
seoul,首尔,546,0.9743589743589743,0.9835164835164835,0.9871794871794872,0.9908424908424909,0.9963369963369964,17,418,86,1.0,0.9694997251722435,research_only
austin,奥斯汀,470,0.951063829787234,0.9957446808510638,0.997872340425532,1.0,1.0,17,376,87,1.0,0.9698397295203957,research_only
dallas,达拉斯,484,0.9297520661157025,0.9896694214876033,0.993801652892562,0.9958677685950413,0.9958677685950413,17,376,88,1.0,0.9701722369872064,weather_paper_candidate
nyc,纽约,505,0.8871287128712871,0.9386138613861386,0.9584158415841584,0.9623762376237623,0.9722772277227723,17,312,78,1.0,0.9664763616190218,research_only
chicago,芝加哥,516,0.9224806201550387,0.9573643410852714,0.9631782945736435,0.9670542635658915,0.9689922480620154,17,374,86,1.0,0.9694997251722435,research_only
london,伦敦,540,0.924074074074074,0.9574074074074074,0.9796296296296296,0.9814814814814815,0.9888888888888889,17,385,88,1.0,0.9701722369872064,weather_paper_candidate
wellington,惠灵顿,544,0.9613970588235294,0.96875,0.9742647058823529,0.9852941176470589,0.9908088235294118,17,383,60,0.9833333333333333,0.928685122861948,research_only
miami,迈阿密,480,0.9979166666666667,1.0,1.0,1.0,1.0,17,378,89,1.0,0.9704974928211433,weather_paper_candidate
telaviv,特拉维夫,541,0.9963031423290203,1.0,1.0,1.0,1.0,17,445,93,1.0,0.9717305460431025,weather_paper_candidate
saopaulo,圣保罗,501,0.9960079840319361,1.0,1.0,1.0,1.0,17,404,91,1.0,0.9711271782397718,weather_paper_candidate
ankara,安卡拉,548,0.9616788321167883,0.9981751824817519,0.9981751824817519,0.9981751824817519,0.9981751824817519,17,440,92,1.0,0.9714320476350278,weather_paper_candidate
munich,慕尼黑,545,0.9247706422018349,0.9743119266055046,0.9853211009174312,0.9926605504587156,0.9926605504587156,17,414,92,1.0,0.9714320476350278,weather_paper_candidate
moscow,莫斯科,548,0.9105839416058394,0.9452554744525548,0.9598540145985401,0.9671532846715328,0.9744525547445255,17,337,92,1.0,0.9714320476350278,weather_paper_candidate
lucknow,勒克瑙,474,0.9915611814345991,1.0,1.0,1.0,1.0,17,380,87,1.0,0.9698397295203957,research_only
jinan,济南,81,0.9876543209876543,0.9876543209876543,1.0,1.0,1.0,21,41,40,1.0,0.9366465513545419,research_only
zhengzhou,郑州,523,0.9751434034416826,0.9961759082217974,1.0,1.0,1.0,17,406,89,1.0,0.9704974928211433,weather_paper_candidate
atlanta,亚特兰大,511,0.9295499021526419,0.9921722113502935,0.9941291585127201,0.9960861056751468,0.9960861056751468,17,396,91,1.0,0.9711271782397718,weather_paper_candidate
